Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,"Original Cost
(in cr.)","Revised Cost
(in cr.)","Expenditure
(in cr.)","Physical Progress
(in %)","Original
Date of Commissioning","Revised
Date of Commissioning",Sanction Date
1295,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618257,Rehabilitation and Upgradation to 2-lane with paved shoulders configuration of Koyyuru to Chaprathipalem section Km 120000 to Km 165500 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode,349,0,221.52,86,07-07-2024,06-10-2025,11-08-2020
1296,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618050,Rehabilitation and Upgradation to 2-lane/Intermediate lane configuration of Ashyari-Shri Kyari Section km 50.000 to km 75.000 of NH-707 in the state of Himachal Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode.,346,359.56,146.64,98,23-09-2023,02-11-2024,24-08-2020
1297,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618878,Rehabilitation and Upgradation to 4L configuration & Strengthening of Sihuni to Rajol from Km 51.000 to Km 72.000 of NH-154 Package-IIA,697,776.59,288.21,91,26-09-2025,,17-03-2022
1298,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617963,Rehabilitation and upgradation to four lane road from km 70.500 to km 78.600 of NH-92 under EPC mode in the State of Uttar Pradesh,296,351.78,0,20,07-01-2027,,06-01-2022
1299,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617938,Rehabilitation And Upgradation to four lane with paved shoulder configuration from km 24350 to km 61875 Jawale - Borgaon Kale of NH-63 in the State of Maharashtra on EPC mode under Annual Plan 2024-25 Total length - 37.525 Km.,574,0,0.04,1,19-03-2027,,20-12-2024
1300,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618026,Rehabilitation and upgradation to two lane with paved shoulders from Km 0/000 to 72/6 of NH-365 Nakrekal to Tanamcherla section under NHDP IV in the state of Telangana under EPC mode,605,0,0,99,31-10-2019,,28-06-2017
1301,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617911,Rehabilitation and upgradation Umaria to Shahdol section of NH-78 from Existing Km. 68/4 to Km. 142/2 to 2LPS including construction of Birshinghpur and Shahdol Bypass on EPC mode under NHDP-IVA,512,613.16,0,94,31-07-2017,12-07-2023,02-03-2015
1302,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618051,Rehabilitation and Upgrading of NH-707 OLD 72-B Package - 2 Hewna to Ashyari,243,220.95,74.87,98,23-03-2023,07-03-2023,17-04-2020
1303,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617966,Rehabilitation and Upgrading to 2 lanes/2-lane with paved shoulders configuration and strengthening of of Birpur and Bihpur Section from km 0.0 to Km 106 of NH 106 under phase I of National Highways Interconnectivity Improvement Projects NHIIP ICB No. NHIIP-BR-106-7 [NHIIP-BR-106-7],781,961.33,0,99,02-10-2019,06-06-2022,02-01-2014
1304,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618041,Rehabilitation and upgrading to two lanes with paved shoulders and Strengthening of Kotdwar-Pauri-Srinagar road section from Km 232.00 to 274.470 on NH-119 New 534 Paidul to Srinagar in the State of Uttarakhand on EPC Mode under NHO Annual Plan 2021-22.,299,0,0,0,29-12-2027,,10-02-2022
1305,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618199,"Rehabilitation, Upgradation & Widening of existing Highway to Rigid Pavement 2 Lane with Paved Shoulder of NH 965DD from Lonand Shirval-Bhor Mandangad-Pchral Section ShindewadiPhata to Varandah Ghat Dist Border from Km 33/550 to 92/550 in the state of Maharashtra on EPC mode.",723,0,0,34,31-07-2026,,20-02-2023
1306,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618042,"Rehabilitation/ Upgradation of existing Highway to four lane standards in Kurkheda town from km.413257 to km 410775, Two lane in Shankarpur Gurnuli km 42400 to km 43100 section and Reconstruction of Major Bridge at Ch. 448558 Bhuti Nallah and Ch. 411695 Sati River bridge, Minor Bridge at Ch. 411477 and Ch. 405800 Lendhari Bridge of NH 543 Bhamhapuri-wadsa-kurkheda-korchi-Deori-Amgaon road on EPC mode in the State of Maharashtra",164,0,0,34,01-05-2025,,25-03-2022
1307,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618065,"Rehabilitation/Upgradation of existing Highway to 2LPS/4 lane of Dhawali to Rajoli from Design Km.149476 to 163476 existing Km.150000 to 164000, Pandhasala to Mohadongri from design Km.170476 to 181476 existing Km.171000 to 182000, Ambeshivni Fata to Bodli from design Km.183476 to 185476 existing Km.184000 to 186000 and Made Tukum to Gadchiroli from design Km.188476 to 189476 existing Km.188000 to 18900 having length 28 km of NH-930 of Dhawali to Gadchroli road in the",316,0,0,27,04-09-2025,,25-03-2022
1308,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618700,Renigunta - Poyya - Naidupeta km 124.60 to km 183.4 of NH 71,1863,2510.14,1336.5,98,31-01-2024,31-10-2024,18-03-2020
1309,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,239,0.1,2.58,3,03-10-2027,,11-04-2025
1310,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618434,Roing-Hunli Road Greenfield Alignment Project,1719,0,0,77,04-03-2022,06-04-2025,15-02-2017
1311,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618943,Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68,861,1019.85,18.25,100,14-01-2011,,
1312,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618614,Sanchore - Santalpur from km 67.000 - km 99.000 of NH-754K AJ-RGBS-Package-3,752,765.25,560.81,99,09-08-2023,31-01-2024,18-02-2020
1313,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618615,Sanchore - Santalpur from km 99.000 - km 130.073 of NH-754K AJ-RGBS-Package-4,778,835.55,663.36,99,09-03-2023,31-12-2024,18-02-2020
1314,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617988,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,776,644.14,0,3,30-07-2027,,15-10-2024
1315,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618090,Sarsam - Kothari of NH-161A - 2L PS from Km.33/00 to 90/00,546,0,0,97,27-06-2019,31-10-2022,20-02-2017
1316,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619069,Satara Km 725.000 to Pune Km 865.350 of NH - 4 New NH - 48 in Maharashtra,362,425.51,47.18,99,04-05-2022,,
1317,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618153,Satara to Mhaswad,653,0,0,98,01-08-2019,,25-01-2017
1318,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618847,Sattanathapuram to Nagapattinam from Km 123.800 to Km 179.555,2900,2899.77,1201.2,77,04-10-2022,31-05-2026,01-03-2018
1319,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618005,Sheohar-Sitamarhi Section km 40.000 to 79.400 km Lot-I,179,278.53,0,98,03-05-2018,30-06-2021,01-02-2016
1320,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618173,Shirur-Kharda section from 55937 km to 114486 km to 2LPS/4L,382,0,0,83,16-06-2019,16-03-2022,17-02-2017
1321,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618840,Simaria Km. 206.050 to Khagaria Km. 266.282,664,891.64,340.08,97,03-04-2019,31-03-2025,
1322,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618006,Sitamarhi-Jaynagar Section km 79.400 to km 156.500 Lot-II,370,503.28,0,98,29-12-2018,06-06-2021,01-02-2016
1323,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619078,Six Laning of Bihar - Jharkhand Border Chordaha - Gorhar section of NH-2 from km 249.525 to km 320.810,1773,1689.17,253.22,78,26-11-2021,28-02-2026,26-12-2017
1324,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618530,Six Laning of Varanasi to Aurangabad from km. 786.00 to km. 978.40 of Old NH-2,3242,3241.56,1167.54,94,10-03-2014,30-06-2025,
1325,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619076,Six Laning of Vijayawada Bypass from Chinna Avutapalli to Gollapudi in Vijayawada - Gundugolanu Section from km. 0.00 to km. 30.00 Pkg-III,1581,1883.71,580.31,98,17-02-2023,20-03-2024,20-01-2020
1326,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618527,Six Laning of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada - Gundugolanu Section from km. 30.00 to km. 47.881 Pkg-IV,1195,1757.82,683.12,98,04-01-2024,,20-01-2020
1327,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618966,Six laning with both sides Service Road of Ayodhya Bypass from Design Km 0000 near Ashram Tiraha on NH-46 to Km 16439 end at Ratnagiri Tiraha on Nh-146,1123,1103.22,12.56,5,11-08-2027,,28-02-2024
1328,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619003,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,882,1519.53,565.49,90,06-05-2021,01-02-2024,28-03-2018
1329,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618212,"STABILIZATION OF LAND SLIDE AND SLOPE PROTECTION AT KM 11.00 TO KM 11.08, 29,730 KM TO 30,060 KM, 30,400 KM TO 31,060 KM, 34,750 KM TO 35,300 KM, 38,950 KM TO 39,030 KM & 39,460 KM TO 39,540 KM TWO LOC CLUBBED, KM 40,400 TO KM 40,650, KM 43,500 KM 43,680, 52,460 RISHIKESH - DHARASU ROAD NH-94 ON EPC MODE IN THE STATE OF UTTARAKHAND. NOSE OF LAND SLIDE - 12 NOS",197,0,0,0,18-04-2027,,31-01-2024
1330,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618548,Stand-alone Ring road/bypass around Jammu City from Raya Morh km. -0.687 to Jagti km. 57.568,2024,2117.63,54.24,99,07-01-2021,03-10-2023,20-12-2017
1331,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619084,Start of Karur Bypass - Dindigul from km. 292.600 to km. 305.600 Contract Package No. NS2/BOT/TN-4,462,515.03,0.29,100,16-04-2009,,
1332,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617973,Strengthening and widening of existing 2 lane road to two lane paved shoulder from km 7.750 to 26.542 & km. 32.093 to 45.786 of NH-130 on EPC mode in the state of chhattisgarh.job No. 130-CG-2017-18-348,189,0,1.06,97,24-11-2020,,08-11-2017
1333,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618133,Strengthening and Widening of road Sakoli- Wadsa-Armori-Gadchiroli-Ashti- Allapalli -Sironcha National highway NH 353C in Km 262/00 to 321/00 including 16 minor Bridges and 2 Major Bridge Total length 59 Km section from repanpalli to sironcha in Gadchiroli Dist in the State of Maharashtra.,281,0,0,55,31-05-2024,05-07-2025,31-03-2021
1334,Roads & Highways,Ministry of Road Transport & Highways,NHAI,618565,Strengthening of existing 4L Ayodhya Bypass Section from design Km. 121 600 to Km. 144020 of NH 28 New NH 27Pkg-3,526,281.13,259.66,81,08-03-2025,27-08-2025,24-03-2023
1335,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618061,"Strengthening, Widening & Up-gradation of newly declared NH-761 from NH-61Junction-BelheAlkutiDevibhoyareNighojShirur, from Design chainage Km 0.000 to Km 37.970 from Single/Intermediate/2L to 2LPS in the State of Maharashtra on EPC Mode Length 37.970 Km",386,0,24.63,0,27-09-2026,,15-03-2024
1336,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617949,Tadipatri Bypass Km 0000 to Km 6285 of 4-Lane on NH-67 in Anantapuramu district of AP state under NHO on EPC Mode under Annual Plan 2022-23,160,0,32.57,69,12-03-2026,,30-03-2023
1337,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618796,Tanot -Ramgarh-Bhadasar-Jaisalmer NH-68 and BhadasarMokal-Sarkaritala up to Pakisthan Border NH-968 Pkg-BM/5,829,830.37,227.05,100,21-04-2021,,23-02-2018
1338,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619097,Thalassery Mahe Bypass Km 170.600 to Km 189.200 of NH-17New NH-66 in Kerala,1181,1573.18,4.81,100,31-05-2020,11-06-2023,09-09-2017
1339,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619165,Thanamcherla-Jamandlapally 2LPS,177,18.65,3.61,100,07-02-2023,,
1340,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619094,Thorapalli - Agraharam - Jittandahalli Section from km 23.350 to km 60.100 [Hosur to Dhamrapuri Pkg-2],1244,1272.11,509.9,82,06-12-2023,31-03-2025,14-02-2019
1341,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619083,Thumbipadi-Namakkal from km. 180.00 to km. 248.625 Package No. NS-2/BOT/TN-02,256,395.43,15.29,100,14-02-2009,,
1342,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618605,Thuravoor Thekku-Paravoor,2879,2638.67,1953.89,68,12-09-2024,31-03-2026,06-09-2021
1343,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619071,Tumkur - Nelamangala 6L,2032,1664.2,502.42,58,25-08-2025,31-03-2027,04-03-2021
1344,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619070,Tumkur-Chitradurga,839,47.44,0.65,100,01-12-2013,,
1345,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618512,Tunnel at Khambataki Ghat Section and its approaches from existing Km. 771.730 to existing Km. 782.000,907,816.12,523.21,86,27-02-2022,30-08-2025,07-11-2017
1346,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618258,Two laning with paved shoulders of Gondiguda to Araku uptoBhallaguda section of NH 516E,297,289.11,237.52,91,07-09-2023,09-04-2024,24-08-2020
1347,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618255,Two laning with paved shoulders of Lambasingi to Paderusection of NH 516E,361,358.05,77.68,23,02-11-2025,,17-04-2020
1348,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618259,Two laning with paved shoulders of Paderu to GundigudaSection of NH 516E,223,0,122.52,100,30-03-2023,24-03-2024,24-08-2020
1349,Roads & Highways,Ministry of Road Transport & Highways,NHAI,618953,Umagaon-Saharsa Package-IV Koshi Bridge & approach Road - Bheja-Bakaur,1200,1223.94,864.12,87,11-08-2023,,01-02-2019
1350,Roads & Highways,Ministry of Road Transport & Highways,NHAI,619166,Umagaon-Saharsa Package-V Bakaur-Parsarma-Bangaon-Bariyahi & Spur to Mahishi,768,968.42,383.04,98,14-12-2025,,07-10-2022
1351,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618108,Up-gradation and strengthening to 2lanePS from Km 95/500 to km 129/775 of Nh 168G Idar-Bhiloda-Samlaji in the state of Gujarat Length 34.275 km,237,0,0,47,06-12-2025,,30-09-2022
1352,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617906,Up-gradation of Dhoraji-Jamkandorna-Kalavad Section of NH-927D from Design Chainage km 0/00 to km 58/115 to Two lane with PS configuration in the State of Gujarat on EPC,247,291.19,0,21,24-01-2027,,14-10-2022
1353,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618078,Up-gradation of NH-130C Abhanpur to Paund from NH Km. 0000 to KM 40380 to two lane with paved shoulders in the State of Chhattisgarh on EPC mode.,193,0,56.27,85,24-09-2023,,22-12-2020
1354,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618064,Up-gradation of NH-930 Sherpar to Kohka from Km.67880 to Km.114860 to 2LPS in Chhattisgarh under EPC mode,279,0,201.05,90,25-05-2024,,12-03-2020
1355,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618021,Up-gradation of Pichhore- Dinara section of NH-346 from Km 292.750 to 334.550 to two lane with paved shoulders in the state of Madhya Pradesh on EPC mode,426,0,0,0,01-07-2025,,01-02-2024
1356,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618093,Up-gradation to 2 lane with Paved shoulder from Charbhuja at Design km 0.00 existing km 150.00 to Neechli Oden Nathdwara at Design ch. Km 88.800 existing km 55.950 of NH-162E on EPC mode.,838,0,55.04,0,26-09-2025,,07-02-2022
1357,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618092,Up-gradation to 2 lane with paved shoulder from Neechli Oden Nathdwara at Design Km 88.800 existing km 55.95 to Bhatewar at Design Km 142.028 existing km 0.00 of NH-162E in the State of Rajasthan on EPC mode.,607,0,437.05,34,04-10-2026,,27-02-2023
1358,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,619010,Up-gradation to 2 lane with paved shoutders of Pawlrang - Rulchawm section- of NH-102B of Aizawl - Imphal Economic Corridor from Existing Chainage km 72.030 to km 104.129 including 2.459 km re-alignment section from Tuivai River to Rulchawm connecting km 48.150 of NH-6 [Design Chainage km 68.170 to km 98.579] in the State of Mizoram under Bharatmala Pariyojna on EPC mode under NHO-NE Package-3 Keifang- Tuivai Pkg-3,501,0,305.45,75,08-05-2025,12-07-2025,13-12-2021
1359,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618394,Up-gradation to 2-lane with Paved Shoulder from Km 12.850 to Km20.300 of 7.450Km length on Goha-Khellani section and a link road to Goha village of 2.016 km on NH-244 in UT of Jammu and Kashmir on EPC Mode Pkg-1,228,225.37,159.56,90,01-04-2022,04-06-2025,14-07-2020
1360,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618398,Up-gradation to 2-lane with Paved Shoulder from Km 20.300 to Km 29.030 of 8.730 Km length on Goha-Khellani section on NH-244 in UT of Jammu and Kashmir on EPC Mode Package II,211,0,172.27,94,01-04-2022,04-06-2025,14-07-2020
1361,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618341,Up-gradation to 2-lane with paved shoulders of Ngopa - Pawlrang section of NH 102B of Aizawl - Imphal Economic Corridor from Existing Chainage km 32.796 to km 72.030 [Design Chainage km 31.280 to km 68.170] in the State of Mizoram under Bharatmala Pariyojna on EPC mode under NHO-NE Package-2 Keifang- Tuivai Pkg-2,524,0,394.29,95,22-02-2025,01-06-2026,21-09-2021
1362,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618406,Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH-144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,322,0,0,0,11-07-2021,04-05-2022,14-03-2018
1363,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617933,Up-gradation to four lane/ Two lane with paved shoulders configuration of Kalyan - Murbad - Malshej Ghat - Nirmal Road NH- 61 km 15/200 to Km 38/00 and from Km. 58/00 to Km 84/00 Design length 48.58 km of NH-61 on EPC Mode in Thane District in the state of Maharashtra,984,0,0,88,31-08-2026,,14-02-2023
1364,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618024,Up-gradation to two lane with paved shoulder configuration of NH-354 Section Arifkes-Ferozepur-Muktsar-Malaut from Km 201.500 to Km 212.500 & Km 229.690 to Km 269.960 and strengthening of existing pavement from Km 212.500 to Km 229.690 excluding Km 218.500 to 223.690 of NH-354 on EPC Mode in the State of Punjab. Job No. NH-354-PB-2020-21-532,263,0,0,72,15-04-2025,,12-03-2021
1365,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617971,Up-gradation to Two/Four lane with paved shoulder Configuration of Kondagaon- Narayanpur from design ch. 0.00 - 48.693 Design Length 47.493 Km. 1.20 Km. retained on NH-130D under EPC mode in the State Chhattisgarh.,322,0,1.1,20,16-03-2027,,29-12-2022
1366,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618136,Upgradatiobn and Rehabilitation of Section of NH 361 F from Parli 00/000 to Gangakhed 30/400 to Two Lanes with paved shoulder / Four lane configurations on EPC mode in the State of Maharashtra.,224,0,0,87,16-09-2023,10-08-2024,31-03-2021
1367,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618019,Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in the State of Madhya Pradesh under EPC mode.,365,0,0,88,19-05-2025,,15-03-2022
1368,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619155,Upgradation and 4L of Haridwar Bypass from Km 0.000 Km 188.100 of NH-58 to Km. 15.100 Km 5.100 of NH 74 PKg-1,1603,1423.89,538.24,71,29-10-2024,01-04-2026,22-11-2021
1369,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617914,Upgradation and reconstruction of Shahpura-Dindori Section of NH 45 from Km 103.700 Design to Km 164.580 Design including 3 bypasses Total length 60.88km to Two lane with paved shoulder configuration along with One time improvement in 03 nos of bypassed built-up areas in a total length of 12.341 km in the State of Madhya Pradesh on EPC mode,241,250.09,0,0,11-12-2025,,14-03-2022
1370,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618967,Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244 from Km 0.000 to Km 39.100,295,295.06,101.52,41,05-08-2026,,06-03-2024
1371,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617915,Upgradation of Dindori-Sagartola-kabichabutra MP-CG border section of NH -45 from km 000Design to km 77.00 Design to Two lane with paved shoulder configration along with one time improvement in 04 nos. of bypaased built-up areas in a total length of 9.1 km in the state of Madhya Pradesh on EPC mode.,329,319.09,0,93,18-09-2025,,12-01-2022
1372,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618098,"Upgradation of exhisting 2 lane flexible pavement to 2 lane paved shoulders rigid pavement from design chainage Km 66.00 to Design Km 82.440 Start of Kolhapur Municipal corporation near Phulewadi to kale, design length 16.440 Km section on Talere Gaganbawada-Kolhapur road NH 166G in the state of Maharashtra on EPC mode",168,0,0,93,13-05-2024,01-05-2025,31-03-2021
1373,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618107,Upgradation of Mehsana-Visnagar-vadnagar-Kheralu-Idar section from km 0/00 to 81/300 of NH 168G Mehsana to Idar in the State of GujaratTotal Length 81.300 Km on Hybrid Annuity Mode HAM,1155,0,0.91,2,17-06-2028,,26-02-2024
1374,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618085,Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,305,293.74,0,70,25-10-2024,09-02-2025,06-12-2021
1375,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618118,Upgradation of two lane paved shoulder from Shahpura existing km. 0.00 Design Ch. 000 to Thanagazi existing Km.37352 Design Ch. 36810 of NH-248A on EPC mode in the State of Rajasthan.,174,0,63.51,90,31-07-2024,31-01-2026,08-03-2022
1376,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618787,"Upgradation to 4L PS from Bhimasar, Junction of NH-41 to Anjar- Bhuj upto Airport Junction from Km 0.000 to Km 65.478 of NH-341",1373,1687.25,751.31,96,29-06-2025,,11-03-2022
1377,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617900,Upgradation to Two Lane Paved Shoulder in km 33/0 to 126/520 of NH-23 Old NH-11B Kothun-Lalsot-Karoli-Dholpur road in the state of Rajasthan under EPC mode Length-93.52 Km.,150,0,12.2,97,01-09-2024,31-01-2026,24-12-2021
1378,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618022,Upgradation to two lane with paved Shulder Configuaration from Km. 0/00 to 47/000 of NH 351 Mahuva to Badhada section in the State of Gujarat,173,219.08,17.42,50,22-08-2025,,06-12-2022
1379,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618069,Upgradation to Two-lane with paved shoulder of Hanumangarh to Kenchiyan section from Km 0.000existing chainage-Km 23.200 to Km 49.605existing chainage-Km 74.645 of NH-54 in the State of Rajasthan on EPC mode.,335,0,0,66,03-10-2026,,24-03-2022
1380,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618465,Vadodara Mumbai Expressway Gandeva to Ena Phase IB - Pkg VII [Km 190.00 to Km 217.500],1710,3392.21,2152.35,97,09-11-2023,31-03-2025,30-07-2020
1381,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618463,Vadodara Mumbai Expressway Kim to Ankleshwar Phase IA - Pkg V,1325,2807.48,1240.62,91,31-10-2021,23-04-2025,19-02-2018
1382,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618468,Vadodara Mumbai Expressway Phase II - Pkg XI [Km. 77.000 to Km. 103.400] Ganjad - Talsari,1525,1913.95,813.23,99,17-05-2024,06-01-2025,19-06-2020
1383,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618469,Vadodara Mumbai Expressway Phase II - Pkg XIII [Km. 26.582 to Km. 50.700] Shirsad - Masvan,3537,4679.54,1786.01,90,08-02-2024,10-06-2025,06-06-2020
1384,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618470,Vadodara Mumbai Expressway Phase II - Pkg XIV [Km. 3.000 to Km. 20.200 of Spur] Shirsad - Akloli,2059,2324.72,576.7,86,11-05-2024,30-06-2025,27-05-2021
1385,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618471,Vadodara Mumbai Expressway Phase II - Pkg XV [Km. 20.200 to Km. 43.000 of Spur] Akloli - Amne,2611,2918.39,596.09,91,11-05-2024,30-11-2025,18-05-2021
1386,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618472,Vadodara Mumbai Expressway Phase II - Pkg XVI [Km. 43.000 to Km. 69.800 of Spur] Amne - Bhoj,4052,4315.56,824.5,90,31-10-2024,23-06-2025,24-06-2021
1387,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618473,Vadodara Mumbai Expressway Phase II - Pkg XVII [Km. 69.800 to Km. 79.783 of Spur] Bhoj - Morbe,2209,2463.02,807.09,84,17-07-2025,,03-09-2021
1388,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619064,Vadodara Mumbai Expressway Talsari to Karvad Phase IB - Pkg X [Km 103.400 to Km 128.000],1910,2652.24,521.59,36,21-03-2024,30-06-2025,07-10-2020
1389,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618529,Varanasi Ring Road Pkg-II connecting Sandaha Village km 11.70 / NH-29 with Revasa Village km 818.80 / NH-2,1992,1832.66,989.09,93,13-02-2022,30-06-2025,26-12-2017
1390,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618769,Walajahpet/Ranipet to TN/AP Border Section of from Km.106.800 to Km.133.36 NH-4,1338,1214.7,68.84,8,29-09-2027,,06-12-2024
1391,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618354,Wideinig & Upgradation to 2-lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 96.870 near Jiri River to km 116.550 near Hangrum Package-7 on EPC mode Package7,847,0,0,71,04-03-2026,,11-12-2023
